lambda_tilde_mode.4.1,lambda_tilde_mode.4.10,lambda_tilde_mode.4.11,lambda_tilde_mode.4.12,lambda_tilde_mode.4.13,lambda_tilde_mode.4.14,lambda_tilde_mode.4.15,lambda_tilde_mode.4.16,lambda_tilde_mode.4.17,lambda_tilde_mode.4.18,lambda_tilde_mode.4.19
0.0023094,0.00509005,0.0342643,0.0045023,0.00190508,0.00341521,0.0530246,0.0148779,0.0144428,0.00231167,0.00642315
0.0287391,0.000941047,0.0918569,0.000483542,0.000512332,0.0250493,0.106678,0.0179076,0.170764,0.000619239,0.365715
0.0259721,0.000642762,0.00558477,0.0174502,0.00151659,0.00182079,0.140186,0.0793153,0.0216488,0.00245841,0.00644676
0.00258929,0.000445512,0.00632118,0.000589875,0.000615689,0.0242696,0.056604,0.0779853,0.00263392,0.00117896,0.0077
0.0278323,0.00820674,0.00512775,0.0810385,0.00370841,0.0558451,0.0557314,0.0496591,0.0204058,0.0326703,0.0031585
0.000673808,0.00566934,0.494126,0.00192086,0.000298386,0.0021825,0.0789663,0.0469237,0.000350678,0.000455978,0.00196864
0.00192022,0.00902404,0.0133544,0.00108949,0.00551469,0.00200587,0.0157884,0.121749,0.00339789,0.00169806,0.111134
0.00646054,0.00222478,0.067878,0.00244031,0.000915339,0.00671665,0.0509952,0.0277039,0.110135,0.000157479,0.00841307
0.0101068,0.0117045,0.249479,0.0934212,0.00824493,0.00317216,0.896487,0.00876193,0.0140545,0.00131409,0.000263147
0.0203804,0.00686976,0.337966,0.00778045,0.00118753,0.00342349,0.0159107,0.0126473,0.00414791,0.00029869,0.600538
0.00271614,0.00387047,0.0441581,0.0026494,0.035067,0.00502504,0.121204,0.00485526,0.0148016,0.0134528,0.00531202
0.0308408,0.0138719,0.119293,0.0166081,0.000946321,0.00125522,0.145924,0.036995,0.00715418,0.000168762,0.00114296
0.00440381,0.000368423,0.027077,0.00378715,0.000105095,0.0014901,0.0351884,0.0775425,0.0666746,0.0368308,0.00550112
0.00481411,0.00162326,0.0156219,0.000675545,0.000121975,0.0220144,0.0491024,0.103131,0.0145236,0.00885829,0.00648437
0.120815,0.061874,0.00421853,0.00387924,0.00265695,0.0191199,0.0834363,0.00860225,0.00410745,0.000562924,0.0445492
