lambda_tilde_mode.4.1,lambda_tilde_mode.4.10,lambda_tilde_mode.4.11,lambda_tilde_mode.4.12,lambda_tilde_mode.4.13,lambda_tilde_mode.4.14,lambda_tilde_mode.4.15,lambda_tilde_mode.4.16,lambda_tilde_mode.4.17,lambda_tilde_mode.4.18,lambda_tilde_mode.4.19
0.0000521524,0.0000281649,0.0000157249,0.000272784,0.000523958,0.000406812,0.0000278875,0.000694413,0.000037462,0.000361124,0.0000180152
0.0000543566,0.0000290404,0.0000157618,0.000262504,0.000508593,0.000397507,0.0000297337,0.000710956,0.0000380827,0.000365772,0.0000185988
0.0000492697,0.0000319103,0.0000169725,0.000256646,0.00049401,0.00038991,0.0000305819,0.000736407,0.0000374278,0.000354619,0.0000188004
0.0000499372,0.0000333604,0.0000160148,0.000255313,0.000498154,0.000372798,0.0000315999,0.000709105,0.0000363581,0.000362069,0.0000186546
0.0000484927,0.0000355102,0.0000162197,0.000253753,0.000482526,0.000357509,0.0000310613,0.000711574,0.0000372553,0.000349327,0.0000190976
0.0000454097,0.0000345751,0.000016664,0.000253766,0.00049856,0.000361205,0.0000299843,0.000695861,0.0000371676,0.000343908,0.0000178028
0.0000460869,0.0000331842,0.0000166267,0.000244499,0.000495585,0.00035152,0.000028767,0.000702667,0.0000377234,0.000345062,0.000017717
0.0000460962,0.0000358718,0.0000159186,0.000240552,0.000491998,0.000336203,0.0000294594,0.0007034,0.0000364309,0.000354317,0.0000169367
0.0000446831,0.000035933,0.0000161677,0.000245208,0.00049335,0.00033717,0.0000302792,0.000712628,0.0000356275,0.000352836,0.0000176052
0.0000453372,0.0000369716,0.0000163605,0.000260756,0.000506409,0.000331041,0.000030994,0.000715912,0.0000344541,0.000359368,0.0000177268
0.0000435016,0.0000374232,0.0000167964,0.000254873,0.00048488,0.000339477,0.0000302465,0.000699457,0.0000332377,0.000357875,0.000017627
0.000042127,0.0000390192,0.0000162557,0.00025366,0.000463834,0.000324192,0.0000307647,0.000673963,0.0000332284,0.00035198,0.0000168133
0.0000399203,0.0000373204,0.0000152842,0.000256118,0.000466063,0.000325949,0.0000301051,0.000668768,0.0000316643,0.000351735,0.0000165652
0.0000396553,0.0000359095,0.0000147054,0.000270605,0.000473318,0.000338834,0.0000299302,0.000669402,0.0000320087,0.000353598,0.0000164696
0.000038395,0.0000350209,0.000015345,0.000277173,0.000469127,0.000344282,0.0000290519,0.000684096,0.0000309332,0.000352283,0.0000163439
0.0000366908,0.0000333705,0.0000152181,0.000284743,0.000467047,0.000351763,0.0000291232,0.000729185,0.0000312506,0.000365317,0.000016692
0.0000355312,0.0000312005,0.0000156142,0.000284007,0.000472905,0.000357735,0.0000294852,0.00069633,0.0000322609,0.000350492,0.0000162543
0.0000375889,0.0000320081,0.0000154191,0.000276191,0.000467774,0.000372978,0.0000308509,0.000659312,0.0000311734,0.000361064,0.00001643
0.0000403923,0.0000320267,0.0000149503,0.000271242,0.000467258,0.00038364,0.0000311006,0.000649612,0.0000304245,0.000345423,0.0000181088
0.0000367821,0.00003086,0.0000151696,0.000270167,0.000465454,0.000359379,0.0000309311,0.000690051,0.0000301949,0.000342897,0.0000170435
0.000036475,0.0000314157,0.000015237,0.000269055,0.000465025,0.000361576,0.0000308166,0.000765476,0.0000302102,0.000357069,0.0000160135
0.0000346852,0.00003069,0.0000150817,0.000268654,0.000453744,0.000341456,0.0000294711,0.000766817,0.0000291106,0.000342556,0.0000169172
0.0000330177,0.0000318408,0.0000149367,0.00026115,0.000434433,0.000344399,0.0000296035,0.000746222,0.0000286483,0.000351083,0.0000159275
0.00003488,0.0000318231,0.0000139214,0.000264685,0.000419279,0.000355354,0.0000296028,0.000752473,0.0000282983,0.000338769,0.0000154717
0.0000347505,0.0000329601,0.0000138405,0.000263171,0.000420376,0.000358145,0.0000299983,0.000746885,0.0000272314,0.000346348,0.0000151747
0.0000329082,0.00003311,0.000013315,0.000262503,0.000417622,0.000361412,0.0000311271,0.00076442,0.0000275848,0.000332888,0.0000155731
0.0000354209,0.0000368722,0.0000132717,0.000270025,0.000427628,0.000341872,0.0000305208,0.000751436,0.0000277219,0.000327118,0.0000154035
0.0000343007,0.0000374472,0.0000134727,0.000273862,0.00041702,0.000321415,0.0000311583,0.000738096,0.0000270168,0.000342472,0.0000159031
0.000036821,0.0000373293,0.0000133596,0.000276399,0.000412977,0.000322765,0.0000308012,0.000728778,0.000027514,0.000333898,0.0000160168
0.0000376286,0.0000365346,0.0000127908,0.000264945,0.000413648,0.00031773,0.0000319404,0.000749527,0.0000268466,0.000339301,0.0000161978
